"","sciname","genus","species","family","order"
"4843","Ptiloris magnificus","Ptiloris","magnificus","Paradisaeidae","Passeriformes"
"4844","Phonygammus keraudrenii","Phonygammus","keraudrenii","Paradisaeidae","Passeriformes"
"4845","Paradisaea rudolphi","Paradisaea","rudolphi","Paradisaeidae","Passeriformes"
"4846","Sylviparus modestus","Sylviparus","modestus","Paridae","Passeriformes"
"4847","Parus monticolus","Parus","monticolus","Paridae","Passeriformes"
"4848","Parus semilarvatus","Parus","semilarvatus","Paridae","Passeriformes"
"4849","Conirostrum leucogenys","Conirostrum","leucogenys","Parulidae","Passeriformes"
"4850","Aethopyga flagrans","Aethopyga","flagrans","Nectariniidae","Passeriformes"
"4851","Arachnothera clarae","Arachnothera","clarae","Nectariniidae","Passeriformes"
"4852","Amblyornis macgregoriae","Amblyornis","macgregoriae","Ptilonorhynchidae","Passeriformes"
"4853","Sitta castanea","Sitta","castanea","Sittidae","Passeriformes"
"4854","Thryothorus maculipectus","Thryothorus","maculipectus","Troglodytidae","Passeriformes"
"4855","Ornithion semiflavum","Ornithion","semiflavum","Tyrannidae","Passeriformes"
"4856","Zosterops nigrorum","Zosterops","nigrorum","Zosteropidae","Passeriformes"
"4857","Zosterops novaeguineae","Zosterops","novaeguineae","Zosteropidae","Passeriformes"
"4858","Myrmotherula erythrura","Myrmotherula","erythrura","Formicariidae","Passeriformes"
"4859","Pachycephala hyperythra","Pachycephala","hyperythra","Muscicapidae","Passeriformes"
"4860","Pachycephala philippinensis","Pachycephala","philippinensis","Muscicapidae","Passeriformes"
"4861","Pachycephala simplex","Pachycephala","simplex","Muscicapidae","Passeriformes"
"4862","Pachycephala sorer","Pachycephala","sorer","Muscicapidae","Passeriformes"
"4863","Peneothello bimaculatus","Peneothello","bimaculatus","Muscicapidae","Passeriformes"
"4864","Pachycare flavogrisea","Pachycare","flavogrisea","Muscicapidae","Passeriformes"
"4865","Phylloscopus proregulus","Phylloscopus","proregulus","Muscicapidae","Passeriformes"
"4866","Phylloscopus trochiloides","Phylloscopus","trochiloides","Muscicapidae","Passeriformes"
"4867","Pitohui ferrugineus","Pitohui","ferrugineus","Muscicapidae","Passeriformes"
