"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"7656","Deconychura longicauda typica","Dendrocolaptidae","Passeriformes","Deconychura longicauda typica",14500,"Furnariidae","PASSERIFORMES"
"7657","Phylloscopus collybita tristis","Muscicapidae","Passeriformes","Phylloscopus collybita tristis",25515,"Phylloscopidae","PASSERIFORMES"
"7658","Furnarius cristatus NA","Furnariidae","Passeriformes","Furnarius cristatus NA",14931,"Furnariidae","PASSERIFORMES"
"7659","Cercococcyx montanus montanus","Cuculidae","Cuculiformes","Cercococcyx montanus montanus",4287,"Cuculidae","CUCULIFORMES"
"7660","Caprimulgus nubicus torridus","Caprimulgidae","Caprimulgiformes","Caprimulgus nubicus torridus",2032,"Caprimulgidae","CAPRIMULGIFORMES"
"7661","Grallaricula nana occidentalis","Formicariidae","Passeriformes","Grallaricula nana occidentalis",16592,"Grallariidae","PASSERIFORMES"
"7662","Amazilia violiceps NA","Trochilidae","Apodiformes","Leucolia violiceps NA",3537,"Trochilidae","APODIFORMES"
"7663","Heliangelus amethysticollis NA","Trochilidae","Apodiformes","Heliangelus amethysticollis NA",2860,"Trochilidae","APODIFORMES"
"7664","Eriocnemis vestitus NA","Trochilidae","Apodiformes","Eriocnemis vestita NA",3057,"Trochilidae","APODIFORMES"
"7665","Haplophaedia aureliae NA","Trochilidae","Apodiformes","Haplophaedia aureliae NA",3043,"Trochilidae","APODIFORMES"
"7666","Saltatricula multicolor NA","Emberizidae","Passeriformes","Saltatricula multicolor NA",36529,"Thraupidae","PASSERIFORMES"
"7667","Icterus icterus strictifrons","Icteridae","Passeriformes","Icterus croconotus strictifrons",35580,"Icteridae","PASSERIFORMES"
"7668","Contopus cinereus aithalodes","Tyrannidae","Passeriformes","Contopus bogotensis aithalodes",17612,"Tyrannidae","PASSERIFORMES"
"7669","Geranospiza caerulescens flexipes","Accipitridae","Falconiformes","Geranospiza caerulescens flexipes",8679,"Accipitridae","ACCIPITRIFORMES"
"7670","Sporophila obscura obscura","Emberizidae","Passeriformes","Asemospiza obscura obscura",36693,"Thraupidae","PASSERIFORMES"
"7671","Hydropsalis brasiliana furcifera","Caprimulgidae","Caprimulgiformes","Hydropsalis torquata furcifer",1941,"Caprimulgidae","CAPRIMULGIFORMES"
"7672","Pterodroma solandri NA","Procellariidae","Procellariiformes","Pterodroma solandri NA",7467,"Procellariidae","PROCELLARIIFORMES"
"7673","Parabuteo unicinctus unicinctus","Accipitridae","Falconiformes","Parabuteo unicinctus unicinctus",8719,"Accipitridae","ACCIPITRIFORMES"
"7674","Tinamus major major","Tinamidae","Tinamiformes","Tinamus major major",59,"Tinamidae","TINAMIFORMES"
"7675","Aythya marila NA","Anatidae","Anseriformes","Aythya marila NA",493,"Anatidae","ANSERIFORMES"
"7676","Eudyptula minor minor","Spheniscidae","Sphenisciformes","Eudyptula minor minor",7306,"Spheniscidae","SPHENISCIFORMES"
"7677","Coscoroba coscoroba NA","Anatidae","Anseriformes","Coscoroba coscoroba NA",293,"Anatidae","ANSERIFORMES"
"7678","Phimosus infuscatus NA","Threskiornithidae","Ciconiiformes","Phimosus infuscatus NA",7832,"Threskiornithidae","PELECANIFORMES"
"7679","Tringa erythropus NA","Scolopacidae","Charadriiformes","Tringa erythropus NA",6833,"Scolopacidae","CHARADRIIFORMES"
"7680","Galloperdix lunulata NA","Phasianidae","Galliformes","Galloperdix lunulata NA",1449,"Phasianidae","GALLIFORMES"
