"","fullname","sciname","subspecies","genus","species","family","order"
"11449","Crypturellus soui caquetae","Crypturellus soui","caquetae","Crypturellus","soui","Tinamidae","Tinamiformes"
"11450","Crypturellus soui caucae","Crypturellus soui","caucae","Crypturellus","soui","Tinamidae","Tinamiformes"
"11451","Crypturellus soui harterti","Crypturellus soui","harterti","Crypturellus","soui","Tinamidae","Tinamiformes"
"11452","Crypturellus soui inconspicuus","Crypturellus soui","inconspicuus","Crypturellus","soui","Tinamidae","Tinamiformes"
"11453","Tinamus tao tao","Tinamus tao","tao","Tinamus","tao","Tinamidae","Tinamiformes"
"11454","Crypturellus cinnamomeus cinnamomeus","Crypturellus cinnamomeus","cinnamomeus","Crypturellus","cinnamomeus","Tinamidae","Tinamiformes"
"11455","Campylopterus ensipennis viridissimus","Campylopterus ensipennis","viridissimus","Campylopterus","ensipennis","Trochilidae","Apodiformes"
"11456","Anisognathus lacrymosus intensus","Anisognathus lacrymosus","intensus","Anisognathus","lacrymosus","Emberizidae","Passeriformes"
"11457","Philydor dimidiatus baeri","Philydor dimidiatus","baeri","Philydor","dimidiatus","Furnariidae","Passeriformes"
"11458","Ploceus nigrimentum NA","Ploceus nigrimentum",NA,"Ploceus","nigrimentum","Ploceidae","Passeriformes"
"11459","Eudyptes crestatus ssp","Eudyptes crestatus","ssp","Eudyptes","crestatus","Spheniscidae","Sphenisciformes"
"11460","Aptenodytes patagonicus ssp","Aptenodytes patagonicus","ssp","Aptenodytes","patagonicus","Spheniscidae","Sphenisciformes"
"11461","Colinus virginianus insignis","Colinus virginianus","insignis","Colinus","virginianus","Phasianidae","Galliformes"
"11462","Habia atrimaxillaris NA","Habia atrimaxillaris",NA,"Habia","atrimaxillaris","Emberizidae","Passeriformes"
"11463","Monarcha frater periophthalmicus","Monarcha frater","periophthalmicus","Monarcha","frater","Muscicapidae","Passeriformes"
"11464","Oceanodroma NA","Oceanodroma",NA,"Oceanodroma",NA,"Hydrobatidae","Procellariiformes"
"11465","Rhynchotus rufescens pallescens","Rhynchotus rufescens","pallescens","Rhynchotus","rufescens","Tinamidae","Tinamiformes"
"11466","Phaethon rubricauda NA","Phaethon rubricauda",NA,"Phaethon","rubricauda","Phaethontidae","Pelecaniformes"
"11467","Calidris NA","Calidris",NA,"Calidris",NA,"Scolopacidae","Charadriiformes"
"11468","Cossypha niveicapilla niveicapilla","Cossypha niveicapilla","niveicapilla","Cossypha","niveicapilla","Muscicapidae","Passeriformes"
"11469","Minla cyanouroptera NA","Minla cyanouroptera",NA,"Minla","cyanouroptera","Muscicapidae","Passeriformes"
"11470","Cyanoliseus patagonus byroni","Cyanoliseus patagonus","byroni","Cyanoliseus","patagonus","Psittacidae","Psittaciformes"
"11471","Athene cunicularia cunicularia","Athene cunicularia","cunicularia","Athene","cunicularia","Strigidae","Strigiformes"
"11472","Oreotrochilus leucopleurus NA","Oreotrochilus leucopleurus",NA,"Oreotrochilus","leucopleurus","Trochilidae","Apodiformes"
"11473","Eulidia yarrellii NA","Eulidia yarrellii",NA,"Eulidia","yarrellii","Trochilidae","Apodiformes"
"11474","Phegornis mitchellii NA","Phegornis mitchellii",NA,"Phegornis","mitchellii","Charadriidae","Charadriiformes"
"11475","Sterna trudeaui NA","Sterna trudeaui",NA,"Sterna","trudeaui","Laridae","Charadriiformes"
"11476","Ixobrychus involucris NA","Ixobrychus involucris",NA,"Ixobrychus","involucris","Ardeidae","Ciconiiformes"
"11477","Nycticryphes semicollaris NA","Nycticryphes semicollaris",NA,"Nycticryphes","semicollaris","Rostratulidae","Charadriiformes"
"11478","Heteronetta atricapilla NA","Heteronetta atricapilla",NA,"Heteronetta","atricapilla","Anatidae","Anseriformes"
"11479","Phalcoboenus megalopterus NA","Phalcoboenus megalopterus",NA,"Phalcoboenus","megalopterus","Falconidae","Falconiformes"
"11480","Fulica rufifrons NA","Fulica rufifrons",NA,"Fulica","rufifrons","Rallidae","Gruiformes"
"11481","Eugralla paradoxa NA","Eugralla paradoxa",NA,"Eugralla","paradoxa","Rhinocryptidae","Passeriformes"
"11482","Pteroptochos castaneus NA","Pteroptochos castaneus",NA,"Pteroptochos","castaneus","Rhinocryptidae","Passeriformes"
"11483","Muscisaxicola flavinucha NA","Muscisaxicola flavinucha",NA,"Muscisaxicola","flavinucha","Tyrannidae","Passeriformes"
"11484","Muscisaxicola frontalis NA","Muscisaxicola frontalis",NA,"Muscisaxicola","frontalis","Tyrannidae","Passeriformes"
"11485","Sicalis auriventris NA","Sicalis auriventris",NA,"Sicalis","auriventris","Emberizidae","Passeriformes"
"11486","Mimus thenca NA","Mimus thenca",NA,"Mimus","thenca","Mimidae","Passeriformes"
"11487","Cinclodes nigrofumosus NA","Cinclodes nigrofumosus",NA,"Cinclodes","nigrofumosus","Furnariidae","Passeriformes"
"11488","Geositta isabellina NA","Geositta isabellina",NA,"Geositta","isabellina","Furnariidae","Passeriformes"
"11489","Carduelis uropygialis NA","Carduelis uropygialis",NA,"Carduelis","uropygialis","Fringillidae","Passeriformes"
"11490","Patagona gigas gigas","Patagona gigas","gigas","Patagona","gigas","Trochilidae","Apodiformes"
"11491","Sephanoides fernandensis fernandensis","Sephanoides fernandensis","fernandensis","Sephanoides","fernandensis","Trochilidae","Apodiformes"
"11492","Caprimulgus longirostris bifasciatus","Caprimulgus longirostris","bifasciatus","Caprimulgus","longirostris","Caprimulgidae","Caprimulgiformes"
"11493","Attagis gayi gayi","Attagis gayi","gayi","Attagis","gayi","Thinocoridae","Charadriiformes"
"11494","Thinocorus orbignyianus orbignyianus","Thinocorus orbignyianus","orbignyianus","Thinocorus","orbignyianus","Thinocoridae","Charadriiformes"
"11495","Rynchops niger intermedia","Rynchops niger","intermedia","Rynchops","niger","Rynchopidae","Charadriiformes"
"11496","Plegadis falcinellus guarauna","Plegadis falcinellus","guarauna","Plegadis","falcinellus","Threskiornithidae","Ciconiiformes"
"11497","Zenaida auriculata auriculata","Zenaida auriculata","auriculata","Zenaida","auriculata","Columbidae","Columbiformes"
"11498","Falco peregrinus tundrius","Falco peregrinus","tundrius","Falco","peregrinus","Falconidae","Falconiformes"
"11499","Ortygonax sanguinolentus landbecki","Ortygonax sanguinolentus","landbecki","Ortygonax","sanguinolentus","Rallidae","Gruiformes"
"11500","Laterallus jamaicensis salinasi","Laterallus jamaicensis","salinasi","Laterallus","jamaicensis","Rallidae","Gruiformes"
"11501","Conirostrum cinereum littorale","Conirostrum cinereum","littorale","Conirostrum","cinereum","Parulidae","Passeriformes"
"11502","Scytalopus magellanicus fuscus","Scytalopus magellanicus","fuscus","Scytalopus","magellanicus","Rhinocryptidae","Passeriformes"
"11503","Scelorchilus albicollis albicollis","Scelorchilus albicollis","albicollis","Scelorchilus","albicollis","Rhinocryptidae","Passeriformes"
"11504","Pteroptochos megapodius megapodius","Pteroptochos megapodius","megapodius","Pteroptochos","megapodius","Rhinocryptidae","Passeriformes"
"11505","Pyrope pyrope ssp","Pyrope pyrope","ssp","Pyrope","pyrope","Tyrannidae","Passeriformes"
"11506","Pyrocephalus rubinus cocachacrae","Pyrocephalus rubinus","cocachacrae","Pyrocephalus","rubinus","Tyrannidae","Passeriformes"
"11507","Anairetes parulus parulus","Anairetes parulus","parulus","Anairetes","parulus","Tyrannidae","Passeriformes"
