ORDER_MBF,FAMILY_MBF,Genus_MBF,Species_MBF,ORDER_HM,FAMILY_HM,Genus_HM,species_HM,subspecies_HM
Procellariiformes,Hydrobatidae,Pelagodroma,marina,Procellariiformes,Oceanitidae,Pelagodroma,marina,
Procellariiformes,Hydrobatidae,Fregetta,grallaria,Procellariiformes,Oceanitidae,Fregetta,grallaria,
Procellariiformes,Hydrobatidae,Fregetta,tropica,Procellariiformes,Oceanitidae,Fregetta,tropica,
Procellariiformes,Hydrobatidae,Fregetta,tropica,Procellariiformes,Oceanitidae,Fregetta,maoriana,
Procellariiformes,Hydrobatidae,Nesofregetta,fuliginosa,Procellariiformes,Oceanitidae,Nesofregetta,fuliginosa,
Procellariiformes,Hydrobatidae,Hydrobates,pelagicus,Procellariiformes,Hydrobatidae,Hydrobates,pelagicus,
Procellariiformes,Hydrobatidae,Halocyptena,microsoma,Procellariiformes,Hydrobatidae,Hydrobates,microsoma,
Procellariiformes,Hydrobatidae,Oceanodroma,tethys,Procellariiformes,Hydrobatidae,Hydrobates,tethys,
Procellariiformes,Hydrobatidae,Oceanodroma,castro,Procellariiformes,Hydrobatidae,Hydrobates,castro,
Procellariiformes,Hydrobatidae,Oceanodroma,,Procellariiformes,Hydrobatidae,Hydrobates,monteiroi,
Procellariiformes,Hydrobatidae,Oceanodroma,leucorhoa,Procellariiformes,Hydrobatidae,Hydrobates,leucorhous,
Procellariiformes,Hydrobatidae,Oceanodroma,macrodactyla,Procellariiformes,Hydrobatidae,Hydrobates,macrodactylus,
Procellariiformes,Hydrobatidae,Oceanodroma,markhami,Procellariiformes,Hydrobatidae,Hydrobates,markhami,
Procellariiformes,Hydrobatidae,Oceanodroma,matsudairae,Procellariiformes,Hydrobatidae,Hydrobates,matsudairae,
Procellariiformes,Hydrobatidae,Oceanodroma,tristrami,Procellariiformes,Hydrobatidae,Hydrobates,tristrami,
Procellariiformes,Hydrobatidae,Oceanodroma,monorhis,Procellariiformes,Hydrobatidae,Hydrobates,monorhis,
Procellariiformes,Hydrobatidae,Oceanodroma,homochroa,Procellariiformes,Hydrobatidae,Hydrobates,homochroa,
Procellariiformes,Hydrobatidae,Oceanodroma,hornbyi,Procellariiformes,Hydrobatidae,Hydrobates,hornbyi,
Procellariiformes,Hydrobatidae,Oceanodroma,furcata,Procellariiformes,Hydrobatidae,Hydrobates,furcatus,
Procellariiformes,Hydrobatidae,Oceanodroma,melania,Procellariiformes,Hydrobatidae,Hydrobates,melania,
Procellariiformes,Pelecanoididae,Pelecanoides,garnoti,Procellariiformes,Procellariidae,Pelecanoides,garnotii,
